CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,SD01_01,SD02,SD15,SD14_02,SD16,SD17_01,SD18,SD19,SD20,SD21_01,SD21_02,SD21_03,SD22_01,SD22_02,SD22_03,SD22_04,SD22_05,SD22_06,SD22_07,SD22_08,SD22_09,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS22,PS11,PS10,PS04_01,PS19_01,PS19_02,PS03,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F008_01,F008_02,F008_03,F008_04,F008_05,F008_06,F008_07,F008_08,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP08_01,PP08_02,PP08_03,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG16_01,LG16_02,LG16_03,LG16_04,LG16_05,LG16_06,LG16_07,LG16_08,LG16_09,LG16_10,LG16_11,LG18_01,LG18_02,LG18_03,LG18_04,LG18_05,LG18_06,LG18_07,LG18_08,LG18_09,LG18_10,LG18_11,LG18_12,LG18_13,LG18_14,LG18_15,LG17_01,LG17_02,LG17_03,LG17_04,LG17_05,LG17_06,LG17_07,LG17_08,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,TP03_01,TP03_02,TP03_03,TP03_04,CV26_01,CV27_01,CV27_02,CV27_03,CV27_04,CV27_05,EP01,EP01_01,EP01_02,EP01_03,EP01_04,EP01_05,EP01_06,EP01_07,EP01_08,EP01_09,EP01_10,EP01_11,EP01_12,EP01_13,EP01_14,EP01_15,EP01_16,EP02_01,EP02_02,EP02_03,EP02_04,EP02_05,EP02_06,EP02_07,EP02_08,EP02_09,EP02_11,EP02_12,EP03_01,EP03_02,EP03_03,EP03_04,EP03_05,EP03_06,EP03_07,EP04_01,EP04_02,EP04_03,EP04_04,EP05_01,EP05_02,EP05_03,EP05_04,EP05_05,EP05_06,EP06_01,EP06_02,EP06_03,EP06_04,BP01_01,BP01_02,BP01_03,BP01_04,BP01_05,BP01_06,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
404,,,base,interview,2022-01-25 21:40:08,24,männlich,mit anderen Personen zusammen.,0,erwerbstätig.,2,Deutsch,der oberen Mittelschicht,der Arbeiterschicht,8.0,3.0,6.0,Trifft eher nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Trifft eher nicht zu,äußerst wichtig,äußerst wichtig,,,GTT,GW,WiSe 2019/20,GTT,Fachpraktikum B,ja,50,3.0,10,AHS,Jänner 2022,5.0,4.0,2.0,4.0,5.0,trifft nicht zu,2.0,trifft nicht zu,3.0,trifft nicht zu,3.0,3.0,2.0,2.0,4.0,4.0,3.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll und ganz zu,4.0,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,3.0,3.0,sehr häufig,sehr häufig,nie,nie,5.0,4.0,4.0,sehr häufig,3.0,sehr häufig,3.0,3.0,5.0,sehr häufig,3.0,3.0,4.0,4.0,sehr häufig,sehr häufig,2.0,sehr häufig,4.0,5.0,4.0,2.0,nie,sehr häufig,5.0,5.0,5.0,nie,4.0,3.0,sehr häufig,nie,nie,sehr häufig,2.0,nie,nie,5.0,nie,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll und ganz zu,4.0,trifft gar nicht zu,4.0,2.0,2.0,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,,C,M,D,02,G,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nie,nie,2.0,nie,sehr häufig,sehr häufig,sehr häufig,nie,nie,nie,nie,nie,nie,nie,nie,sehr häufig,nie,nie,nie,nie,3.0,nie,4.0,2.0,nie,nie,nie,2.0,nie,sehr häufig,3.0,nie,4.0,trifft voll und ganz zu,4.0,4.0,2.0,2.0,22.0,20.0,2633.0,16.0,29.0,9.0,44.0,91.0,62.0,69.0,66.0,71.0,105.0,111.0,60.0,84.0,46.0,82.0,49.0,101.0,40.0,1223.0,,2022-01-25 22:43:39,ausgefüllt,Teilnehmer,22.0,22.0,2.0,0.0,,2.0
246,,,base,interview,2022-01-24 14:01:19,21,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,der oberen Mittelschicht,der oberen Mittelschicht,8.0,9.0,8.0,Trifft eher nicht zu,Trifft eher zu,Trifft voll und ganz zu,Trifft überhaupt nicht zu,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher zu,Trifft voll und ganz zu,Trifft voll und ganz zu,äußerst wichtig,äußerst wichtig,,,GS,EN,WiSe 2018/19,GS,Vertiefungspraktikum A,ja,55,3.0,10,AHS,Dezember 2021,trifft voll zu,5.0,4.0,5.0,3.0,2.0,trifft nicht zu,4.0,3.0,2.0,2.0,trifft zu,trifft nicht zu,2.0,3.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,5.0,trifft gar nicht zu,2.0,trifft voll und ganz zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,4.0,2.0,nie,nie,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,2.0,3.0,3.0,5.0,sehr häufig,nie,4.0,2.0,nie,nie,5.0,4.0,4.0,3.0,4.0,nie,4.0,2.0,5.0,5.0,nie,3.0,nie,4.0,nie,5.0,5.0,nie,2.0,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,4.0,5.0,5.0,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,,G,K,K,26,B,5.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,3.0,5.0,2.0,4.0,3.0,5.0,5.0,sehr häufig,3.0,sehr häufig,3.0,2.0,nie,5.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,sehr häufig,2.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,3.0,trifft gar nicht zu,6.0,17.0,40.0,21.0,42.0,26.0,56.0,678.0,271.0,37.0,86.0,66.0,56.0,65.0,37.0,112.0,27.0,78.0,45.0,62.0,28.0,1017.0,,2022-01-24 14:32:15,ausgefüllt,Teilnehmer,22.0,22.0,3.0,1.0,,4.0
181,,,base,interview,2022-01-24 12:28:36,20,männlich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,der Mittelschicht,der Arbeiterschicht,3.0,2.0,5.0,Trifft eher nicht zu,Trifft eher nicht zu,Weder noch,Trifft eher nicht zu,Trifft überhaupt nicht zu,Trifft überhaupt nicht zu,Trifft eher zu,Trifft überhaupt nicht zu,Trifft eher nicht zu,äußerst wichtig,nicht wichtig,,Kein Erweiterungsfach,INF,MA,WiSe 2021/22,MA,Einführungspraktikum A,ja,18,3.0,0,MS,Jänner 2022,trifft voll zu,trifft voll zu,5.0,4.0,5.0,4.0,2.0,5.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft nicht zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,nie,sehr häufig,nie,nie,sehr häufig,sehr häufig,4.0,sehr häufig,sehr häufig,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,3.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,3.0,trifft gar nicht zu,5.0,trifft voll und ganz zu,5.0,3.0,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,,S,W,S,3,b,3.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,4.0,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,3.0,4.0,3.0,3.0,3.0,5.0,4.0,nie,5.0,3.0,3.0,nie,5.0,nie,nie,5.0,nie,nie,nie,nie,4.0,3.0,4.0,4.0,trifft gar nicht zu,trifft gar nicht zu,trifft voll und ganz zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,3.0,14.0,31.0,18.0,27.0,11.0,47.0,84.0,27.0,32.0,32.0,41.0,32.0,39.0,34.0,80.0,31.0,59.0,51.0,66.0,26.0,785.0,,2022-01-24 12:41:41,ausgefüllt,Teilnehmer,22.0,22.0,2.0,1.0,,15.0
382,,,base,interview,2022-01-25 11:21:55,21,männlich,bei meinen Eltern.,0,erwerbstätig.,"7,7",Deutsch,der Mittelschicht,der oberen Mittelschicht,7.0,8.0,7.0,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Trifft eher zu,Trifft eher zu,Trifft eher zu,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher zu,2.0,2.0,,Kein Erweiterungsfach,GW,EN,WiSe 2021/22,EN,Einführungspraktikum A,ja,20,4.0,0,MS,November 2021,5.0,5.0,5.0,5.0,4.0,5.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,5.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,nie,nie,2.0,2.0,3.0,2.0,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,4.0,nie,nie,nie,nie,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,trifft voll und ganz zu,trifft voll und ganz zu,,K,M,A,13,B,4.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,5.0,4.0,5.0,nie,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,4.0,2.0,3.0,2.0,3.0,nie,3.0,nie,3.0,3.0,2.0,3.0,sehr häufig,2.0,3.0,3.0,nie,2.0,4.0,2.0,3.0,4.0,trifft gar nicht zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,trifft gar nicht zu,trifft gar nicht zu,15.0,30.0,87.0,23.0,53.0,20.0,68.0,94.0,52.0,63.0,75.0,44.0,41.0,15.0,44.0,72.0,57.0,89.0,14.0,36.0,29.0,1021.0,,2022-01-25 11:38:57,ausgefüllt,Teilnehmer,22.0,22.0,1.0,0.0,,19.0
116,,,base,interview,2022-01-24 11:15:25,19,weiblich,bei meinen Eltern.,0,erwerbstätig.,"8,5",Deutsch,der Arbeiterschicht,der Unterschicht,8.0,4.0,9.0,Trifft überhaupt nicht zu,Trifft überhaupt nicht zu,Trifft überhaupt nicht zu,Weder noch,Trifft voll und ganz zu,Trifft eher zu,Trifft überhaupt nicht zu,Trifft voll und ganz zu,Trifft voll und ganz zu,äußerst wichtig,6.0,,Kein Erweiterungsfach,GS,BU,WiSe 2021/22,Sonstiges,Einführungspraktikum A,ja,20,3.0,0,MS,Dezember 2021,5.0,5.0,3.0,4.0,5.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,4.0,2.0,trifft voll und ganz zu,trifft voll zu,3.0,trifft voll zu,nie,sehr häufig,3.0,2.0,sehr häufig,sehr häufig,5.0,3.0,nie,2.0,nie,nie,nie,nie,3.0,3.0,nie,nie,nie,nie,nie,nie,2.0,4.0,nie,nie,3.0,4.0,nie,nie,nie,nie,nie,2.0,nie,nie,nie,nie,nie,4.0,nie,nie,nie,4.0,5.0,2.0,5.0,trifft voll und ganz zu,5.0,5.0,trifft voll und ganz zu,3.0,5.0,5.0,trifft voll und ganz zu,4.0,4.0,3.0,4.0,,H,K,M,23,G,3.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,4.0,sehr häufig,5.0,4.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,3.0,4.0,nie,5.0,sehr häufig,sehr häufig,2.0,sehr häufig,nie,5.0,sehr häufig,2.0,nie,sehr häufig,nie,5.0,sehr häufig,5.0,5.0,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,373.0,18.0,47.0,15.0,33.0,17.0,17.0,59.0,32.0,47.0,34.0,35.0,35.0,39.0,18.0,65.0,35.0,37.0,33.0,48.0,22.0,691.0,,2022-01-24 11:33:04,ausgefüllt,Teilnehmer,22.0,22.0,1.0,0.0,,20.0
104,,,base,interview,2022-01-24 11:07:09,22,männlich,bei meinen Eltern.,0,nicht erwerbstätig.,0,Deutsch,der Mittelschicht,der Arbeiterschicht,6.0,5.0,8.0,Trifft überhaupt nicht zu,Trifft voll und ganz zu,Trifft eher nicht zu,,Trifft eher nicht zu,Trifft eher zu,Trifft eher zu,Trifft eher zu,Trifft eher nicht zu,äußerst wichtig,6.0,,Kein Erweiterungsfach,BU,MA,WiSe 2019/20,BU,Fachpraktikum B,ja,52,17.0,6,MS,Dezember 2021,trifft voll zu,trifft voll zu,trifft voll zu,4.0,trifft voll zu,trifft zu,trifft zu,5.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,2.0,2.0,5.0,sehr häufig,nie,4.0,5.0,4.0,4.0,sehr häufig,3.0,sehr häufig,4.0,2.0,sehr häufig,sehr häufig,sehr häufig,nie,sehr häufig,4.0,2.0,sehr häufig,2.0,4.0,nie,5.0,sehr häufig,2.0,nie,nie,sehr häufig,2.0,3.0,nie,nie,5.0,4.0,nie,3.0,sehr häufig,3.0,4.0,sehr häufig,sehr häufig,nie,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,3.0,trifft gar nicht zu,trifft gar nicht zu,3.0,trifft gar nicht zu,trifft gar nicht zu,5.0,5.0,4.0,4.0,"Bitte nochmals über das Geschriebene in Hinblick auf die Orthographie und Beistrichsetzung lesen! Es kommen oft Fehler vor.<br>Das Bewertungssystem mit ""nie"" bis ""oft"" ist bei manchen Fragepunkten nicht angebracht.<br>Bei einem Fragepunkt (ich bin mir unsicher, welcher dies war) mussten beide Begleit-LVAs bewertet werden, ohne dabei die Möglichkeit zu geben, diese differenziert zu betrachten, da die Qualität von beiden eher auseinandergeht.",E,F,R,21,B,6.0,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,3.0,5.0,5.0,4.0,5.0,sehr häufig,4.0,sehr häufig,5.0,4.0,4.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,3.0,nie,sehr häufig,2.0,nie,5.0,nie,nie,2.0,nie,3.0,3.0,2.0,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,96.0,51.0,115.0,23.0,227.0,17.0,423.0,158.0,67.0,61.0,156.0,142.0,100.0,172.0,118.0,176.0,92.0,114.0,91.0,94.0,363.0,1530.0,,2022-01-24 11:54:45,ausgefüllt,Teilnehmer,22.0,22.0,1.0,1.0,,0.0
483,,,base,interview,2022-02-04 13:45:25,22,weiblich,mit meinem*meiner Partner*in.,0,erwerbstätig.,15,Deutsch,der oberen Mittelschicht,der oberen Mittelschicht,8.0,8.0,8.0,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Trifft eher zu,Weder noch,Weder noch,Trifft eher zu,Trifft eher nicht zu,äußerst wichtig,5.0,2.0,PuP,GW,MA,WiSe 2018/19,GW,Vertiefungspraktikum B,ja,40,10.0,12,AHS,Dezember 2021,3.0,3.0,2.0,5.0,5.0,3.0,2.0,4.0,5.0,trifft zu,trifft zu,3.0,2.0,trifft voll und ganz zu,2.0,trifft voll und ganz zu,3.0,2.0,2.0,5.0,trifft voll und ganz zu,5.0,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,2.0,nie,nie,5.0,5.0,2.0,3.0,nie,sehr häufig,4.0,3.0,5.0,2.0,2.0,3.0,2.0,sehr häufig,3.0,5.0,nie,5.0,nie,nie,nie,2.0,2.0,4.0,sehr häufig,,nie,nie,nie,5.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,2.0,nie,5.0,trifft voll und ganz zu,5.0,5.0,3.0,5.0,3.0,trifft voll und ganz zu,5.0,2.0,trifft voll und ganz zu,trifft voll und ganz zu,2.0,5.0,3.0,4.0,,P,G,J,29,G,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,5.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,nie,3.0,2.0,4.0,2.0,nie,5.0,3.0,2.0,nie,3.0,nie,sehr häufig,4.0,nie,2.0,2.0,nie,2.0,5.0,2.0,2.0,trifft gar nicht zu,4.0,2.0,trifft gar nicht zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,15.0,33.0,13.0,32.0,15.0,20.0,60.0,42.0,45.0,45.0,44.0,51.0,105.0,48.0,79.0,248.0,304.0,48.0,109.0,22.0,925.0,,2022-02-04 14:08:28,ausgefüllt,Teilnehmer,22.0,22.0,1.0,1.0,,9.0
500,,,base,interview,2022-02-05 12:13:30,23,weiblich,mit meinem*meiner Partner*in.,,erwerbstätig.,5,Deutsch,der oberen Mittelschicht,der oberen Mittelschicht,7.0,7.0,7.0,Trifft eher nicht zu,Trifft eher zu,Trifft überhaupt nicht zu,Weder noch,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft voll und ganz zu,Weder noch,äußerst wichtig,5.0,6.0,GS,PuP,DE,,DE,Vertiefungspraktikum A,ja,53,10.0,10,MS,Dezember 2021,trifft voll zu,trifft voll zu,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,trifft zu,2.0,trifft gar nicht zu,trifft gar nicht zu,4.0,3.0,3.0,3.0,5.0,3.0,trifft gar nicht zu,4.0,5.0,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,sehr häufig,3.0,nie,4.0,3.0,2.0,sehr häufig,sehr häufig,5.0,sehr häufig,sehr häufig,4.0,sehr häufig,4.0,4.0,sehr häufig,sehr häufig,sehr häufig,2.0,4.0,4.0,4.0,3.0,5.0,sehr häufig,3.0,3.0,5.0,4.0,2.0,5.0,2.0,4.0,2.0,nie,sehr häufig,sehr häufig,sehr häufig,nie,sehr häufig,sehr häufig,nie,5.0,5.0,5.0,4.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,5.0,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,5.0,trifft voll und ganz zu,,R,J,B,24,B,3.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,4.0,3.0,4.0,3.0,4.0,4.0,4.0,sehr häufig,4.0,4.0,3.0,4.0,4.0,5.0,3.0,nie,4.0,4.0,4.0,3.0,sehr häufig,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,sehr häufig,sehr häufig,4.0,4.0,2.0,2.0,trifft gar nicht zu,2.0,2.0,3.0,17.0,44.0,27.0,64.0,11.0,40.0,83.0,51.0,53.0,34.0,53.0,55.0,76.0,29.0,73.0,27.0,60.0,52.0,59.0,27.0,938.0,,2022-02-05 12:29:08,ausgefüllt,Teilnehmer,22.0,22.0,2.0,1.0,,7.0
327,,,base,interview,2022-01-24 18:38:21,21,weiblich,bei meinen Eltern.,0,erwerbstätig.,8,Deutsch,der Mittelschicht,der Arbeiterschicht,5.0,3.0,7.0,Trifft eher nicht zu,Trifft eher zu,Trifft eher zu,Trifft überhaupt nicht zu,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher zu,Trifft eher nicht zu,Trifft voll und ganz zu,äußerst wichtig,4.0,,,Sonstiges,DE,WiSe 2020/21,MA,Einführungspraktikum A,ja,20,5.0,15,MS,Dezember 2021,4.0,5.0,3.0,4.0,2.0,3.0,trifft zu,trifft zu,4.0,trifft zu,trifft zu,trifft zu,trifft nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,3.0,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,nie,5.0,5.0,nie,5.0,5.0,2.0,5.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,5.0,nie,nie,nie,nie,nie,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,,L,S,A,29,B,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trifft gar nicht zu,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,6.0,30.0,61.0,10.0,26.0,12.0,20.0,66.0,43.0,85.0,66.0,51.0,28.0,30.0,29.0,139.0,27.0,21.0,8.0,7.0,37.0,802.0,,2022-01-24 18:51:44,ausgefüllt,Teilnehmer,22.0,22.0,20.0,19.0,,53.0
265,,,base,interview,2022-01-24 15:03:08,22,weiblich,mit anderen Personen zusammen.,0,nicht erwerbstätig.,0,Deutsch,der oberen Mittelschicht,der oberen Mittelschicht,9.0,9.0,9.0,Trifft eher nicht zu,Trifft eher zu,Trifft eher zu,Trifft eher nicht zu,Trifft überhaupt nicht zu,Trifft eher zu,Weder noch,Trifft eher zu,Trifft voll und ganz zu,äußerst wichtig,äußerst wichtig,nicht wichtig,Kein Erweiterungsfach,EN,DE,WiSe 2019/20,DE,Fachpraktikum B,ja,48,8.0,11,MS,Dezember 2021,5.0,5.0,3.0,5.0,2.0,2.0,5.0,5.0,trifft zu,trifft zu,trifft zu,trifft zu,4.0,5.0,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,3.0,3.0,5.0,2.0,2.0,sehr häufig,sehr häufig,4.0,2.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,nie,2.0,2.0,2.0,2.0,5.0,4.0,nie,5.0,2.0,5.0,nie,4.0,nie,3.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,nie,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,2.0,2.0,2.0,trifft gar nicht zu,trifft gar nicht zu,3.0,5.0,3.0,4.0,,P,S,P,29,B,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,4.0,4.0,sehr häufig,5.0,sehr häufig,sehr häufig,sehr häufig,5.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,sehr häufig,3.0,2.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,75.0,77.0,58.0,66.0,41.0,17.0,43.0,78.0,331.0,44.0,48.0,58.0,157.0,106.0,227.0,175.0,12.0,64.0,47.0,91.0,33.0,1155.0,,2022-01-24 15:33:57,ausgefüllt,Teilnehmer,22.0,22.0,1.0,0.0,,5.0
