CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D001_01,D002,D015,D014,D016,D017_01,D018,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS12,PS11,PS11_05,PS11_01,PS11_02,PS11_03,PS11_04,PS10,PS09,PS08_01,PS07,PS06,PS04_01,PS19_01,PS20_01,PS03,PS02_01,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F008_06,F008_03,F008_05,F008_07,F008_08,F004_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP06_01,PP06_02,PP06_03,PP06_04,PP05_01,PP05_02,PP05_03,PP05_04,PP05_05,PP08_01,PP08_02,PP08_03,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,LG13_25,LG13_11,LG13_23,LG13_12,LG13_14,LG13_29,LG13_24,LG13_13,LG13_15,LG13_20,LG15_32,LG15_33,LG15_30,LG15_31,LG15_28,LG15_27,LG15_16,LG15_17,VP01_01,VP01_02,VP01_03,VP01_04,VP01_05,VP01_06,VP01_07,VP01_08,VP01_09,VP01_10,VP01_11,VP01_12,VP01_13,VP01_14,VP02_01,VP02_02,VP02_03,VP02_04,VP02_05,VP02_06,VP02_07,VP02_08,VP02_09,VP02_10,VP02_11,VP02_12,VP03_01,VP03_02,VP03_03,VP03_04,VP03_05,VP03_06,VP03_07,VP03_08,VP03_09,VP03_10,VP03_11,VP03_12,VP03_13,VP03_14,VP03_15,VP03_16,VP04_01,VP04_02,VP04_03,VP04_04,VP04_05,VP04_06,VP04_07,FP01_01,FP01_02,FP01_03,FP01_04,FP01_05,FP01_06,FP01_07,FP01_08,FP01_09,FP01_10,FP01_11,FP01_12,FP01_13,FP02_01,FP02_02,FP02_03,FP02_04,FP02_05,FP02_06,FP02_07,FP02_08,FP02_09,FP02_10,FP02_11,FP02_12,FP02_13,FP02_14,FP02_15,FP02_16,FP02_17,FP02_18,FP02_19,FP02_20,FP03_01,FP03_02,FP03_03,FP03_04,FP03_05,FP03_06,FP03_07,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV25_01,CV26_01,CV27_01,CV27_02,CV27_03,CV27_04,CV27_05,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME017,TIME018,TIME019,TIME020,TIME021,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME,filter_$
185,,,base,interview,2021-06-15 09:50:58,20,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,10,Deutsch,äußerst wichtig,äußerst wichtig,,,GS,DE,4,ja,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,53.0,14.0,12.0,"BMHS (z. B. HTL, HAK, ...)",2,Juni 2021,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft eher zu,trifft eher zu,teils/teils,trifft zu,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,nie,nie,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,2.0,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,,4.0,5.0,5.0,5.0,sehr häufig,5.0,,,5.0,sehr häufig,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,teils/teils,trifft nicht zu,trifft zu,teils/teils,trifft zu,trifft zu,teils/teils,trifft zu,trifft zu,trifft eher zu,teils/teils,teils/teils,,,C,A,L,10,B,3.0,36.0,40.0,,37.0,25.0,25.0,36.0,33.0,56.0,123.0,,,,,92.0,33.0,48.0,38.0,58.0,683.0,,2021-06-15 10:02:21,ausgefüllt,Teilnehmer,21.0,21.0,6.0,3.0,,12.0,Not Selected
582,,,base,interview,2021-06-22 09:54:07,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,äußerst wichtig,äußerst wichtig,,,,EN,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,5.0,5.0,ASO,2,Mai 2021,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,trifft zu,trifft zu,teils/teils,trifft eher zu,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,2.0,3.0,2.0,trifft voll zu,3.0,trifft gar nicht zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,3.0,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,4.0,3.0,2.0,5.0,sehr häufig,2.0,2.0,4.0,sehr häufig,sehr häufig,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,3.0,4.0,5.0,trifft voll zu,4.0,4.0,5.0,4.0,2.0,teils/teils,trifft eher zu,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft eher zu,trifft zu,teils/teils,teils/teils,trifft eher zu,trifft eher nicht zu,,,A,P,I,16,B,4.0,34.0,42.0,,41.0,32.0,38.0,56.0,54.0,101.0,189.0,,,,,,,,61.0,34.0,686.0,,2021-06-22 10:05:33,ausgefüllt,Teilnehmer,21.0,21.0,6.0,2.0,,3.0,Not Selected
680,,,base,interview,2021-06-24 08:06:14,20,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,20,Deutsch,äußerst wichtig,6.0,,,PuP,BSP,4,nein,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,18.0,5.0,AHS,6,Mai 2021,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,teils/teils,teils/teils,trifft eher zu,trifft eher nicht zu,trifft eher zu,,3.0,2.0,2.0,3.0,2.0,3.0,trifft voll zu,3.0,2.0,2.0,3.0,trifft gar nicht zu,trifft gar nicht zu,2.0,trifft gar nicht zu,3.0,3.0,3.0,2.0,3.0,trifft voll zu,trifft gar nicht zu,2.0,sehr häufig,4.0,3.0,sehr häufig,4.0,3.0,5.0,sehr häufig,2.0,nie,2.0,2.0,2.0,2.0,2.0,nie,nie,nie,nie,nie,2.0,4.0,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,3.0,5.0,3.0,2.0,sehr häufig,sehr häufig,4.0,3.0,,,,4.0,5.0,sehr häufig,sehr häufig,nie,3.0,3.0,sehr häufig,sehr häufig,sehr häufig,4.0,sehr häufig,4.0,sehr häufig,5.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,sehr häufig,2.0,5.0,3.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,trifft nicht zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft eher zu,teils/teils,teils/teils,trifft eher zu,teils/teils,"unser Praxislehrer hatte sehr viele Studentinnnen, auch von anderen Universitäten und unterrichet aber in dem Fach nicht so viel, sodass es sehr schwierig war Termine zu finden.",,C,K,T,19,B,12.0,59.0,48.0,,57.0,36.0,29.0,59.0,45.0,82.0,171.0,,,,,119.0,33.0,53.0,65.0,163.0,910.0,,2021-06-24 08:23:25,ausgefüllt,Teilnehmer,21.0,21.0,4.0,2.0,,2.0,Not Selected
289,,,base,interview,2021-06-15 12:24:58,20,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,8,Deutsch,äußerst wichtig,6.0,,,GS,EN,1,ja,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,5.0,2.0,MS,4,April 2021,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft zu,trifft eher zu,trifft zu,teils/teils,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,5.0,5.0,sehr häufig,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,nie,2.0,3.0,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft nicht zu,trifft eher nicht zu,trifft eher nicht zu,teils/teils,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,teils/teils,trifft zu,trifft zu,,,D,M,L,5,B,3.0,20.0,27.0,,24.0,7.0,34.0,14.0,15.0,21.0,69.0,,,,,,,,50.0,39.0,323.0,,2021-06-15 12:30:21,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,59.0,Not Selected
606,,,base,interview,2021-06-22 14:07:39,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,Andere Sprache,äußerst wichtig,6.0,,,GS,EN,4,ja,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,5.0,2.0,MS,4,Juni 2021,trifft voll zu,trifft voll zu,3.0,trifft voll zu,3.0,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft zu,,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft voll zu,2.0,2.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,4.0,sehr häufig,sehr häufig,4.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,sehr häufig,sehr häufig,2.0,3.0,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,5.0,trifft voll zu,5.0,trifft voll zu,trifft voll zu,trifft nicht zu,trifft eher nicht zu,teils/teils,teils/teils,trifft zu,trifft eher nicht zu,trifft zu,teils/teils,trifft zu,teils/teils,trifft eher zu,trifft zu,,,F,N,M,19,B,2.0,17.0,38.0,,27.0,22.0,28.0,25.0,18.0,30.0,76.0,,,,,,,,49.0,27.0,359.0,,2021-06-22 14:13:39,ausgefüllt,Teilnehmer,21.0,21.0,5.0,1.0,,38.0,Not Selected
608,,,base,interview,2021-06-22 14:07:40,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,äußerst wichtig,5.0,,,GS,EN,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,22.0,7.0,2.0,MS,2,Juni 2021,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,teils/teils,teils/teils,trifft nicht zu,teils/teils,trifft eher nicht zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,2.0,3.0,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,4.0,5.0,2.0,nie,3.0,5.0,4.0,5.0,5.0,sehr häufig,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,4.0,4.0,4.0,5.0,4.0,trifft voll zu,4.0,4.0,4.0,5.0,4.0,trifft nicht zu,trifft eher nicht zu,teils/teils,trifft nicht zu,trifft zu,teils/teils,teils/teils,teils/teils,trifft eher zu,trifft eher zu,trifft nicht zu,trifft eher zu,,,C,A,L,05,B,4.0,30.0,41.0,,37.0,15.0,20.0,24.0,25.0,48.0,97.0,,,,,,,,34.0,28.0,403.0,,2021-06-22 14:14:23,ausgefüllt,Teilnehmer,21.0,21.0,5.0,1.0,,26.0,Not Selected
701,,,base,interview,2021-06-24 15:18:15,20,männlich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,"12,5",Deutsch,äußerst wichtig,4.0,,,GS,EN,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,30.0,6.0,2.0,AHS,3,Mai 2021,trifft voll zu,3.0,3.0,3.0,trifft voll zu,trifft zu,trifft eher zu,trifft eher nicht zu,trifft zu,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,nie,4.0,5.0,nie,5.0,2.0,4.0,3.0,4.0,nie,nie,nie,nie,nie,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,trifft eher nicht zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,trifft zu,teils/teils,trifft nicht zu,trifft eher zu,trifft zu,teils/teils,,,B,K,N,11,B,5.0,13.0,18.0,,16.0,29.0,33.0,58.0,168.0,87.0,132.0,,,,,,,,58.0,45.0,662.0,,2021-06-24 15:29:18,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,23.0,Not Selected
637,,,base,interview,2021-06-22 14:24:52,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,äußerst wichtig,äußerst wichtig,,,GW,EN,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,24.0,12.0,2.0,MS,2,April 2021,trifft voll zu,3.0,3.0,3.0,3.0,trifft eher zu,trifft eher zu,trifft eher nicht zu,teils/teils,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,sehr häufig,sehr häufig,3.0,5.0,sehr häufig,sehr häufig,sehr häufig,5.0,sehr häufig,3.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,2.0,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,5.0,2.0,sehr häufig,4.0,4.0,4.0,5.0,5.0,3.0,trifft eher nicht zu,trifft eher nicht zu,teils/teils,trifft nicht zu,trifft eher zu,teils/teils,trifft eher zu,teils/teils,trifft zu,trifft eher nicht zu,trifft zu,teils/teils,,,M,C,L,27,B,4.0,31.0,30.0,,23.0,393.0,36.0,19.0,51.0,47.0,189.0,,,,,,,,51.0,19.0,531.0,,2021-06-22 14:39:45,ausgefüllt,Teilnehmer,21.0,21.0,5.0,1.0,,22.0,Not Selected
322,,,base,interview,2021-06-15 14:16:35,20,weiblich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,4,Deutsch,äußerst wichtig,äußerst wichtig,,,MG,BE,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,23.0,4.0,2.0,AHS,3,April 2021,3.0,3.0,3.0,trifft voll zu,trifft voll zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft zu,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,sehr häufig,sehr häufig,2.0,5.0,sehr häufig,sehr häufig,5.0,5.0,4.0,2.0,nie,nie,nie,nie,2.0,nie,nie,nie,nie,2.0,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,5.0,5.0,5.0,5.0,trifft voll zu,trifft voll zu,5.0,5.0,4.0,trifft voll zu,trifft eher nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,teils/teils,trifft eher zu,teils/teils,trifft zu,trifft zu,trifft eher zu,trifft eher zu,,,R,H,M,19,B,8.0,75.0,28.0,,67.0,17.0,23.0,30.0,27.0,45.0,83.0,,,,,,,,43.0,29.0,475.0,,2021-06-15 14:24:31,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,20.0,Not Selected
208,,,base,interview,2021-06-15 10:06:12,20,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,20,Andere Sprache,äußerst wichtig,4.0,,,EH,EN,2,ja,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,3.0,2.0,MS,2,Mai 2021,trifft voll zu,trifft voll zu,3.0,3.0,3.0,trifft eher zu,teils/teils,trifft eher nicht zu,trifft eher zu,trifft zu,,2.0,3.0,3.0,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,2.0,trifft voll zu,trifft voll zu,2.0,trifft voll zu,2.0,trifft voll zu,trifft voll zu,2.0,3.0,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,5.0,sehr häufig,sehr häufig,nie,4.0,nie,3.0,4.0,3.0,5.0,3.0,2.0,nie,nie,nie,3.0,nie,nie,nie,nie,2.0,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,4.0,2.0,5.0,4.0,2.0,3.0,4.0,3.0,5.0,trifft nicht zu,trifft eher nicht zu,teils/teils,trifft eher nicht zu,teils/teils,teils/teils,teils/teils,trifft eher nicht zu,teils/teils,trifft nicht zu,trifft nicht zu,trifft eher nicht zu,,,J,G,D,07,B,2.0,35.0,37.0,,27.0,29.0,61.0,46.0,43.0,67.0,146.0,,,,,,,,52.0,35.0,580.0,,2021-06-15 10:15:52,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,13.0,Not Selected
176,,,base,interview,2021-06-15 09:47:02,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,6.0,äußerst wichtig,,,ME,BU,4,ja,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,51.0,25.0,8.0,AHS,2,Mai 2021,3.0,trifft voll zu,trifft voll zu,trifft voll zu,3.0,teils/teils,trifft eher zu,trifft eher zu,trifft nicht zu,trifft eher zu,,3.0,3.0,trifft gar nicht zu,3.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,2.0,trifft voll zu,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,nie,4.0,4.0,2.0,3.0,2.0,4.0,nie,nie,nie,nie,3.0,4.0,sehr häufig,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,sehr häufig,4.0,4.0,3.0,3.0,sehr häufig,sehr häufig,5.0,4.0,nie,nie,4.0,4.0,4.0,4.0,sehr häufig,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,nie,5.0,5.0,5.0,sehr häufig,sehr häufig,5.0,sehr häufig,nie,3.0,4.0,4.0,3.0,nie,nie,2.0,nie,nie,nie,nie,nie,4.0,trifft gar nicht zu,2.0,3.0,2.0,2.0,teils/teils,trifft nicht zu,trifft eher zu,trifft nicht zu,teils/teils,teils/teils,trifft eher zu,trifft eher nicht zu,teils/teils,trifft eher nicht zu,teils/teils,trifft eher nicht zu,"Ja!<br>Unsere Praxispädagogik war anfangs sehr gemein, unfair gegenüber meiner Kollegin. Sie sprach meine Kollegin vor den SuS blöd an und blamierte sie. Als ich dann nach Ostern zu unterrichten begonnen habe, war die Praxispädagogin die liebste und netteste Person auf der Erde!! Meine Kollegin hatte in dieser Schule maturiert, vielleicht war dies der ausschlaggebende Punkt. Ich empfehle diese Praxispädagogin auf keinen Fall weiter und dies kommuniziere ich auch gerne öffentlich!!!",,S,F,K,8,G,5.0,22.0,25.0,,33.0,53.0,46.0,37.0,37.0,125.0,136.0,,,,,80.0,50.0,54.0,48.0,204.0,793.0,,2021-06-15 10:02:57,ausgefüllt,Teilnehmer,21.0,21.0,3.0,1.0,,9.0,Not Selected
715,,,base,interview,2021-06-24 16:47:33,20,männlich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,5.0,5.0,,,GS,GW,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,6.0,2.0,AHS,20,Mai 2021,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft nicht zu,,trifft gar nicht zu,trifft gar nicht zu,2.0,3.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,trifft gar nicht zu,3.0,trifft voll zu,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,2.0,2.0,3.0,4.0,4.0,5.0,nie,3.0,5.0,sehr häufig,nie,4.0,4.0,4.0,2.0,nie,3.0,3.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,sehr häufig,3.0,2.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft eher zu,trifft eher nicht zu,trifft eher nicht zu,trifft zu,trifft zu,trifft zu,trifft eher zu,teils/teils,,,M,D,H,14,B,2.0,27.0,70.0,,173.0,94.0,30.0,54.0,45.0,127.0,139.0,,,,,,,,62.0,37.0,860.0,,2021-06-24 17:01:53,ausgefüllt,Teilnehmer,21.0,21.0,5.0,1.0,,9.0,Not Selected
142,,,base,interview,2021-06-15 09:17:29,20,weiblich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,18,Andere Sprache,äußerst wichtig,6.0,,,EH,MA,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,25.0,4.0,2.0,MS,3,April 2021,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,sehr häufig,5.0,4.0,5.0,5.0,5.0,4.0,sehr häufig,sehr häufig,2.0,nie,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,trifft nicht zu,trifft nicht zu,teils/teils,teils/teils,trifft nicht zu,trifft nicht zu,trifft eher nicht zu,trifft zu,teils/teils,trifft eher zu,trifft nicht zu,teils/teils,,,M,I,R,10,B,5.0,43.0,58.0,,44.0,42.0,23.0,25.0,35.0,75.0,178.0,,,,,,,,96.0,39.0,663.0,,2021-06-15 09:28:32,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,8.0,Not Selected
