CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME,SC01,SD01_01,SD02,SD03_01,SD04,SD05,SD06,SD08_01,SD08_02,SD08_03,SD08_04,SD08_05,SD08_06,SD08_07,SD09,LV03_01,SW01_01,SW01_02,SW01_03,SW01_04,SW01_05,RS01_01,RS01_02,RS01_03,RS01_04,RS01_05,RS01_06,RS01_07,RS01_08,RS01_09,RS01_10,RS01_11,RS01_12,RS01_13,BE01_01,BE01_02,BE01_03,BE01_04,BE01_05,BE01_06,BE01_07,BE01_08,BE01_09,BE01_10,BE01_11,BE01_12,BE02_01,BE02_02,BE02_03,BE02_04,BE02_05,BE02_06,BE02_07,BL01_01,BL01_02,BL01_03,BL01_04,BL03_01,BL03_02,BL03_03,BL03_04,BL03_05,BL03_06,BL03_07,BL03_08,EN01_01,CO01_01,SC03,SC04,SD10,LV01_01,LV02,IP01,IP06_01,IP06_02,IP06_03,IP06_04,IP06_05,BE03_01,BL02_01,BL02_02,BL02_03,BL02_04,BL04_01,BL04_02,BL04_03,BL04_04,BL04_05,BL04_06,BL04_07,BL04_08,BL04_09,SD07_01,IP02_01,IP02_02,IP02_03,IP02_04,IP02_05,IP02_06,IP03_01,IP04,IP05_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP01_08,PP01_09,PP01_10,PP02_01,PP02_02,PP02_03,PP02_04,PP02_05,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP01_07,TP03_01,TP03_02,TP03_03,TP03_04,TP03_05,BL05_01,BL05_02,BL05_03,BL05_04,BL05_05,BL05_06,BL05_07,BL05_08,BL05_09,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,TP02_07,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME_SUM,MAILSENT,LASTDATA
428,,,base,interview,2023-05-09 16:37:18,ausgefüllt,Teilnehmer,32.0,32.0,2.0,2.0,0.84,23.0,Ja,,,0.0,HLG Quereinstieg,,Ich bin an einer Schule als Lehrkraft tätig und anderweitig erwerbstätig.,,,,,,,,,8.0,4.0,3.0,2.0,trifft voll zu,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,trifft voll und ganz zu,4.0,4.0,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,2.0,3.0,2.0,2.0,2.0,3.0,trifft nicht zu,trifft zu,2.0,2.0,trifft nicht zu,2.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,2.0,4.0,"Außer der Bearbeitung von Fällen und dem Schulrecht sind die Lehrveranstaltungen micht zielbringend für den Unterricht. Mehr Praxis, Hospitationen sind sinnvoll. Ich möchte von erfahrenenen Lehrkräften Beispiele bekommen, wie man z.B. handeln kann. Nützliches für meine Lehrtätigkeit bekomme ich nur durch die Hilfe und Tipps meiner Kollegin, nicht durch das Hochschulstudium. Wenn wir schon einiges nachholen sollen, dann sollte es auch sinnvoll und zielführend sein. Wie man eine Seminararbeit verfasst, muss ich den SchülerInnen ja nicht beibringen. Rollenspiele durchspielen",GML10B,Eher Nein,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",PTS (Polytechnische Schule),22.0,ca. im gleichen Ausmaß in meinen Fächern und fachfremd,Ich habe die Induktionsphase bereits abgeschlossen.,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,die Arbeit an der Schule,trifft nicht zu,trifft nicht zu,2.0,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,3.0,trifft zu,trifft zu,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,5.0,5.0,5.0,,,,,,,,,,trifft nicht zu,trifft nicht zu,trifft nicht zu,3.0,2.0,5.0,5.0,42.0,0.0,19.0,6.0,,19.0,10.0,,,12.0,32.0,25.0,4.0,,,28.0,83.0,,,63.0,64.0,88.0,8.0,69.0,25.0,27.0,19.0,40.0,51.0,294.0,57.0,22.0,819.0,,2023-05-09 16:55:45
417,,,base,interview,2023-05-09 16:33:49,ausgefüllt,Teilnehmer,32.0,32.0,3.0,3.0,0.57,0.0,Ja,51.0,männlich,3.0,HLG Quereinstieg,,Ich bin an einer Schule als Lehrkraft tätig und anderweitig erwerbstätig.,,,,,,,,,28.0,trifft voll zu,trifft voll zu,5.0,5.0,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,,trifft voll und ganz zu,4.0,trifft voll und ganz zu,3.0,trifft voll und ganz zu,,,4.0,3.0,4.0,2.0,trifft zu,2.0,trifft zu,3.0,trifft zu,3.0,4.0,2.0,trifft gar nicht zu,2.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,stimme vollständig zu,2.0,3.0,3.0,"Studium IK(AD) aus SEK-BB | HLG QUER | in manchen Feldern fehlen Mehrfachauswahlen - dadurch wird die eigentliche Belastung nicht klar | PRoblematik in der Organisation - Anrechnungen - Rückmeldungen Termine sind ein wesentlciher Teil der Belastung, weil dadurch Unplanbarkeit entsteht.",RAG11G,Eher Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",MS,19.0,überwiegend in meinen Fächern,Ich habe die Induktionsphase bereits abgeschlossen.,2.0,trifft nicht zu,2.0,4.0,trifft voll und ganz zu,2.0,2.0,trifft nicht zu,trifft nicht zu,trifft nicht zu,3.0,3.0,2.0,trifft zu,3.0,3.0,trifft zu,trifft zu,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trifft voll und ganz zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,,,,,,,,,,3.0,2.0,trifft nicht zu,3.0,3.0,5.0,3.0,13.0,8.0,12.0,39.0,,51.0,16.0,,,35.0,34.0,64.0,7.0,,,34.0,39.0,,,92.0,126.0,38.0,18.0,172.0,25.0,34.0,31.0,82.0,59.0,120.0,50.0,26.0,1163.0,,2023-05-09 16:54:15
1018,,,base,interview,2023-05-24 15:28:24,ausgefüllt,Teilnehmer,32.0,32.0,1.0,0.0,0.82,2.0,Ja,30.0,männlich,0.0,Master Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2022/23,Ich bin an einer Schule als Lehrkraft tätig und anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,nein,11.0,5.0,5.0,5.0,trifft voll zu,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,trifft zu,3.0,trifft zu,3.0,3.0,3.0,5.0,4.0,4.0,2.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,4.0,3.0,stimme vollständig zu,,GKT04B,Eher Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",AHS,19.0,ausschließlich in meinen studierten Fächern,Ich habe keine Induktionsphase absolviert.,trifft voll und ganz zu,trifft voll und ganz zu,4.0,5.0,2.0,3.0,4.0,3.0,trifft nicht zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,3.0,3.0,trifft zu,3.0,trifft zu,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,7.0,6.0,22.0,12.0,13.0,39.0,7.0,12.0,18.0,17.0,10.0,,,30.0,37.0,,,47.0,87.0,41.0,16.0,,,26.0,26.0,67.0,37.0,4.0,52.0,28.0,679.0,,2023-05-24 15:39:43
1081,,,base,interview,2023-05-24 22:06:09,ausgefüllt,Teilnehmer,32.0,32.0,1.0,0.0,1.14,12.0,Ja,22.0,weiblich,0.0,Master Lehramt Sekundarstufe (Allgemeinbildung),SoSe 2023,Ich bin an einer Schule als Lehrkraft tätig und anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,durch Anerkennung von Unterichtstätigkeit,nein,25.0,trifft voll zu,5.0,2.0,4.0,4.0,6.0,ja Ich stimme völlig zu,6.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,6.0,5.0,ja Ich stimme völlig zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,4.0,5.0,4.0,4.0,4.0,trifft nicht zu,trifft zu,3.0,3.0,3.0,3.0,trifft nicht zu,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,2.0,4.0,,MFM28B,Eher Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",AHS,16.0,überwiegend in meinen Fächern,Ich habe keine Induktionsphase absolviert.,5.0,4.0,3.0,5.0,trifft voll und ganz zu,die Arbeit an der Schule,3.0,trifft nicht zu,2.0,trifft nicht zu,2.0,3.0,3.0,2.0,2.0,trifft nicht zu,2.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0,5.0,15.0,16.0,10.0,7.0,16.0,3.0,12.0,12.0,8.0,4.0,,,24.0,54.0,,,57.0,76.0,32.0,6.0,,,18.0,27.0,32.0,38.0,3.0,41.0,21.0,550.0,,2023-05-24 22:15:19
166,,,base,interview,2023-05-08 16:14:40,ausgefüllt,Teilnehmer,32.0,32.0,0.0,0.0,0.68,4.0,Ja,20.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2021/22,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,nein,37.0,trifft voll zu,5.0,4.0,trifft voll zu,trifft voll zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,3.0,4.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,2.0,4.0,trifft gar nicht zu,trifft gar nicht zu,4.0,trifft nicht zu,trifft zu,2.0,trifft zu,trifft zu,trifft zu,trifft zu,4.0,4.0,2.0,4.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme gar nicht zu,stimme vollständig zu,3.0,"wo findet man die Auswertung und werden die Ergebnisse für Verbesserungen auch wirklich herangezogen, oder bleiben sie in der Luft hängen?",NHN06S,Eher Nein,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,16.0,4.0,50.0,61.0,7.0,16.0,9.0,,,375.0,,,,,103.0,,,68.0,136.0,34.0,,,,31.0,,74.0,,87.0,82.0,34.0,785.0,,2023-05-08 16:34:41
792,,,base,interview,2023-05-17 11:26:34,ausgefüllt,Teilnehmer,32.0,32.0,0.0,0.0,0.86,4.0,Ja,19.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2022/23,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,nein,37.0,4.0,trifft voll zu,2.0,trifft voll zu,2.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,4.0,5.0,4.0,5.0,4.0,ja Ich stimme völlig zu,3.0,4.0,2.0,4.0,trifft voll und ganz zu,5.0,5.0,4.0,4.0,4.0,trifft voll und ganz zu,5.0,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,3.0,3.0,3.0,4.0,4.0,5.0,trifft voll und ganz zu,3.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme gar nicht zu,3.0,"Zu früh, das im 2. Semester zu fragen, wo man noch fast nicht unterrichtet hat. Für jemanden, der nicht Nachhilfe gibt sind die Fragen nur durch Raten zu beantworten.",ACS06G,Nein,"Manchmal habe ich irgendetwas geklickt, weil ich unmotiviert war oder mich einfach nicht ausgekannt habe.",,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,7.0,10.0,5.0,20.0,24.0,25.0,28.0,8.0,,,8.0,,,,,33.0,,,46.0,99.0,18.0,,,,16.0,,40.0,,64.0,36.0,26.0,532.0,,2023-05-17 11:35:26
350,,,base,interview,2023-05-09 08:06:34,ausgefüllt,Teilnehmer,32.0,32.0,0.0,0.0,0.9,5.0,Ja,20.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2021/22,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,ja,36.0,5.0,5.0,trifft voll zu,5.0,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,3.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,3.0,2.0,trifft zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,5.0,3.0,4.0,4.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,3.0,stimme vollständig zu,4.0,Praxisschule MS Pregarten empfehle ich sehr weiter! Frau Kiesenhofer-Voit ist eine tolle Unterstüzung gewesen,MJS09G,Eher Nein,"Manchmal habe ich irgendetwas geklickt, weil ich unmotiviert war oder mich einfach nicht ausgekannt habe.",,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,5.0,5.0,5.0,5.0,5.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,,,,,,,,13.0,7.0,5.0,7.0,15.0,14.0,10.0,20.0,11.0,,,44.0,,,,,62.0,37.0,24.0,59.0,55.0,71.0,,77.0,23.0,32.0,,45.0,34.0,41.0,31.0,13.0,750.0,,2023-05-09 08:19:04
761,,,base,interview,2023-05-17 11:11:37,ausgefüllt,Teilnehmer,32.0,32.0,9.0,7.0,1.04,9.0,Ja,20.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2022/23,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,,,,,,nein,36.0,5.0,5.0,4.0,5.0,4.0,6.0,ja Ich stimme völlig zu,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,ja Ich stimme völlig zu,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,trifft zu,2.0,trifft zu,3.0,trifft zu,2.0,5.0,5.0,5.0,5.0,4.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,stimme vollständig zu,3.0,4.0,,TJH01B,Eher Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.0,7.0,6.0,5.0,12.0,9.0,15.0,29.0,5.0,,,5.0,,,,,42.0,,,81.0,90.0,30.0,,,,14.0,,39.0,,4.0,38.0,14.0,456.0,,2023-05-17 11:25:14
673,,,base,interview,2023-05-12 17:18:07,ausgefüllt,Teilnehmer,32.0,32.0,2.0,1.0,1.34,24.0,Ja,25.0,männlich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2019/20,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,ja,35.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,6.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,5.0,trifft voll und ganz zu,5.0,5.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,2.0,trifft zu,trifft zu,trifft zu,3.0,trifft zu,trifft zu,2.0,2.0,trifft gar nicht zu,trifft gar nicht zu,stimme vollständig zu,stimme vollständig zu,,stimme vollständig zu,4.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,,XD69G,Eher Nein,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,5.0,4.0,5.0,2.0,3.0,3.0,trifft voll und ganz zu,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,3.0,trifft zu,3.0,,,,,,,,11.0,8.0,9.0,21.0,12.0,7.0,31.0,12.0,9.0,,,12.0,,,,,32.0,66.0,14.0,52.0,27.0,17.0,,24.0,8.0,12.0,,47.0,15.0,4.0,41.0,13.0,504.0,,2023-05-12 17:26:31
208,,,base,interview,2023-05-08 16:19:54,ausgefüllt,Teilnehmer,32.0,32.0,3.0,2.0,1.19,12.0,Ja,21.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2019/20,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,,nein,35.0,trifft voll zu,5.0,4.0,5.0,4.0,6.0,ja Ich stimme völlig zu,6.0,5.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,6.0,ja Ich stimme völlig zu,5.0,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,4.0,trifft voll und ganz zu,3.0,3.0,4.0,3.0,4.0,2.0,trifft zu,3.0,trifft zu,trifft zu,trifft zu,3.0,2.0,3.0,4.0,2.0,4.0,stimme vollständig zu,4.0,4.0,4.0,2.0,stimme vollständig zu,3.0,,MFV23B,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,7.0,5.0,13.0,11.0,12.0,10.0,5.0,,,7.0,,,,,21.0,,,52.0,76.0,29.0,,,,24.0,,50.0,,3.0,35.0,16.0,390.0,,2023-05-08 16:26:24
470,,,base,interview,2023-05-10 08:55:51,ausgefüllt,Teilnehmer,32.0,32.0,9.0,8.0,0.67,12.0,Ja,25.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2022/23,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,,,,,,ja,33.0,5.0,5.0,4.0,4.0,4.0,ja Ich stimme völlig zu,6.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,2.0,3.0,trifft nicht zu,3.0,3.0,3.0,3.0,,,,,4.0,stimme vollständig zu,4.0,4.0,4.0,2.0,3.0,2.0,,MGY05B,Eher Nein,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,3.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,5.0,3.0,trifft gar nicht zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,trifft voll und ganz zu,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,trifft zu,3.0,trifft zu,,,,,,,,67.0,14.0,9.0,8.0,29.0,18.0,78.0,18.0,10.0,,,23.0,,,,,76.0,114.0,64.0,85.0,133.0,52.0,,62.0,40.0,3.0,,82.0,77.0,7.0,69.0,22.0,1091.0,,2023-05-10 09:15:11
466,,,base,interview,2023-05-10 08:54:29,ausgefüllt,Teilnehmer,32.0,32.0,1.0,1.0,0.83,1.0,Ja,19.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2022/23,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,nein,33.0,5.0,trifft voll zu,4.0,5.0,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,6.0,6.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,5.0,4.0,5.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,3.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,trifft zu,2.0,trifft zu,3.0,2.0,2.0,trifft gar nicht zu,trifft gar nicht zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,3.0,4.0,3.0,,SWH08G,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,13.0,7.0,6.0,16.0,12.0,21.0,19.0,8.0,,,22.0,,,,,27.0,,,56.0,91.0,40.0,,,,19.0,,48.0,,6.0,40.0,22.0,513.0,,2023-05-10 09:03:02
251,,,base,interview,2023-05-08 16:54:21,ausgefüllt,Teilnehmer,32.0,32.0,1.0,0.0,1.23,16.0,Ja,22.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2021/22,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,ja,32.5,4.0,5.0,3.0,5.0,trifft voll zu,ja Ich stimme völlig zu,6.0,4.0,5.0,5.0,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,5.0,6.0,ja Ich stimme völlig zu,5.0,3.0,5.0,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,3.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,2.0,trifft zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,2.0,trifft voll und ganz zu,5.0,4.0,trifft voll und ganz zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,stimme vollständig zu,4.0,3.0,4.0,,RHM19B,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,trifft voll und ganz zu,5.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,4.0,5.0,trifft voll und ganz zu,3.0,trifft voll und ganz zu,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,2.0,5.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,5.0,trifft zu,2.0,3.0,trifft zu,trifft zu,trifft zu,3.0,trifft zu,3.0,,,,,,,,11.0,5.0,52.0,7.0,22.0,10.0,9.0,13.0,7.0,,,33.0,,,,,20.0,37.0,17.0,44.0,51.0,16.0,,21.0,17.0,14.0,,31.0,21.0,6.0,27.0,19.0,465.0,,2023-05-08 17:02:51
